"Idp","Vel:0","Vel:1","Vel:2","Rhop","Type","Mk","Points:0","Points:1","Points:2"
183,0,0,0,1000,0,11,0,0,1.83
184,0,0,0,1000,0,11,0,0,1.84
185,0,0,0,1000,0,11,0,0,1.85
186,0,0,0,1000,0,11,0,0,1.86
187,0,0,0,1000,0,11,0,0,1.87
188,0,0,0,1000,0,11,0,0,1.88
189,0,0,0,1000,0,11,0,0,1.89
190,0,0,0,1000,0,11,0,0,1.9
191,0,0,0,1000,0,11,0,0,1.91
192,0,0,0,1000,0,11,0,0,1.92
193,0,0,0,1000,0,11,0,0,1.93
194,0,0,0,1000,0,11,0,0,1.94
195,0,0,0,1000,0,11,0,0,1.95
196,0,0,0,1000,0,11,0,0,1.96
197,0,0,0,1000,0,11,0,0,1.97
198,0,0,0,1000,0,11,0,0,1.98
199,0,0,0,1000,0,11,0,0,1.99
200,0,0,0,1000,0,11,0,0,2
201,0,0,0,1000,0,11,0.01,0,0
202,0,0,0,1000,0,11,0.02,0,0
203,0,0,0,1000,0,11,0.03,0,0
204,0,0,0,1000,0,11,0.04,0,0
205,0,0,0,1000,0,11,0.05,0,0
206,0,0,0,1000,0,11,0.06,0,0
207,0,0,0,1000,0,11,0.07,0,0
208,0,0,0,1000,0,11,0.08,0,0
209,0,0,0,1000,0,11,0.09,0,0
210,0,0,0,1000,0,11,0.1,0,0
211,0,0,0,1000,0,11,0.11,0,0
212,0,0,0,1000,0,11,0.12,0,0
213,0,0,0,1000,0,11,0.13,0,0
214,0,0,0,1000,0,11,0.14,0,0
215,0,0,0,1000,0,11,0.15,0,0
216,0,0,0,1000,0,11,0.16,0,0
217,0,0,0,1000,0,11,0.17,0,0
218,0,0,0,1000,0,11,0.18,0,0
219,0,0,0,1000,0,11,0.19,0,0
220,0,0,0,1000,0,11,0.2,0,0
221,0,0,0,1000,0,11,0.21,0,0
222,0,0,0,1000,0,11,0.22,0,0
223,0,0,0,1000,0,11,0.23,0,0
224,0,0,0,1000,0,11,0.24,0,0
225,0,0,0,1000,0,11,0.25,0,0
226,0,0,0,1000,0,11,0.26,0,0
227,0,0,0,1000,0,11,0.27,0,0
228,0,0,0,1000,0,11,0.28,0,0
229,0,0,0,1000,0,11,0.29,0,0
230,0,0,0,1000,0,11,0.3,0,0
231,0,0,0,1000,0,11,0.31,0,0
232,0,0,0,1000,0,11,0.32,0,0
233,0,0,0,1000,0,11,0.33,0,0
234,0,0,0,1000,0,11,0.34,0,0
235,0,0,0,1000,0,11,0.35,0,0
236,0,0,0,1000,0,11,0.36,0,0
237,0,0,0,1000,0,11,0.37,0,0
238,0,0,0,1000,0,11,0.38,0,0
239,0,0,0,1000,0,11,0.39,0,0
240,0,0,0,1000,0,11,0.4,0,0
241,0,0,0,1000,0,11,0.41,0,0
242,0,0,0,1000,0,11,0.42,0,0
243,0,0,0,1000,0,11,0.43,0,0
244,0,0,0,1000,0,11,0.44,0,0
245,0,0,0,1000,0,11,0.45,0,0
246,0,0,0,1000,0,11,0.46,0,0
247,0,0,0,1000,0,11,0.47,0,0
248,0,0,0,1000,0,11,0.48,0,0
249,0,0,0,1000,0,11,0.49,0,0
250,0,0,0,1000,0,11,0.5,0,0
251,0,0,0,1000,0,11,0.51,0,0
252,0,0,0,1000,0,11,0.52,0,0
253,0,0,0,1000,0,11,0.53,0,0
254,0,0,0,1000,0,11,0.54,0,0
255,0,0,0,1000,0,11,0.55,0,0
256,0,0,0,1000,0,11,0.56,0,0
257,0,0,0,1000,0,11,0.57,0,0
258,0,0,0,1000,0,11,0.58,0,0
259,0,0,0,1000,0,11,0.59,0,0
260,0,0,0,1000,0,11,0.6,0,0
261,0,0,0,1000,0,11,0.61,0,0
262,0,0,0,1000,0,11,0.62,0,0
263,0,0,0,1000,0,11,0.63,0,0
264,0,0,0,1000,0,11,0.64,0,0
265,0,0,0,1000,0,11,0.65,0,0
266,0,0,0,1000,0,11,0.66,0,0
267,0,0,0,1000,0,11,0.67,0,0
268,0,0,0,1000,0,11,0.68,0,0
269,0,0,0,1000,0,11,0.69,0,0
270,0,0,0,1000,0,11,0.7,0,0
271,0,0,0,1000,0,11,0.71,0,0
272,0,0,0,1000,0,11,0.72,0,0
273,0,0,0,1000,0,11,0.73,0,0
274,0,0,0,1000,0,11,0.74,0,0
275,0,0,0,1000,0,11,0.75,0,0
276,0,0,0,1000,0,11,0.76,0,0
277,0,0,0,1000,0,11,0.77,0,0
278,0,0,0,1000,0,11,0.78,0,0
279,0,0,0,1000,0,11,0.79,0,0
280,0,0,0,1000,0,11,0.8,0,0
281,0,0,0,1000,0,11,0.81,0,0
282,0,0,0,1000,0,11,0.82,0,0
283,0,0,0,1000,0,11,0.83,0,0
284,0,0,0,1000,0,11,0.84,0,0
285,0,0,0,1000,0,11,0.85,0,0
286,0,0,0,1000,0,11,0.86,0,0
287,0,0,0,1000,0,11,0.87,0,0
288,0,0,0,1000,0,11,0.88,0,0
289,0,0,0,1000,0,11,0.89,0,0
290,0,0,0,1000,0,11,0.9,0,0
291,0,0,0,1000,0,11,0.91,0,0
292,0,0,0,1000,0,11,0.92,0,0
293,0,0,0,1000,0,11,0.93,0,0
294,0,0,0,1000,0,11,0.94,0,0
295,0,0,0,1000,0,11,0.95,0,0
296,0,0,0,1000,0,11,0.96,0,0
297,0,0,0,1000,0,11,0.97,0,0
298,0,0,0,1000,0,11,0.98,0,0
299,0,0,0,1000,0,11,0.99,0,0
300,0,0,0,1000,0,11,1,0,0
301,0,0,0,1000,0,11,1.01,0,0
302,0,0,0,1000,0,11,1.02,0,0
303,0,0,0,1000,0,11,1.03,0,0
304,0,0,0,1000,0,11,1.04,0,0
305,0,0,0,1000,0,11,1.05,0,0
306,0,0,0,1000,0,11,1.06,0,0
307,0,0,0,1000,0,11,1.07,0,0
308,0,0,0,1000,0,11,1.08,0,0
309,0,0,0,1000,0,11,1.09,0,0
310,0,0,0,1000,0,11,1.1,0,0
311,0,0,0,1000,0,11,1.11,0,0
312,0,0,0,1000,0,11,1.12,0,0
313,0,0,0,1000,0,11,1.13,0,0
314,0,0,0,1000,0,11,1.14,0,0
315,0,0,0,1000,0,11,1.15,0,0
316,0,0,0,1000,0,11,1.16,0,0
317,0,0,0,1000,0,11,1.17,0,0
318,0,0,0,1000,0,11,1.18,0,0
319,0,0,0,1000,0,11,1.19,0,0
320,0,0,0,1000,0,11,1.2,0,0
321,0,0,0,1000,0,11,1.21,0,0
322,0,0,0,1000,0,11,1.22,0,0
323,0,0,0,1000,0,11,1.23,0,0
324,0,0,0,1000,0,11,1.24,0,0
325,0,0,0,1000,0,11,1.25,0,0
326,0,0,0,1000,0,11,1.26,0,0
327,0,0,0,1000,0,11,1.27,0,0
328,0,0,0,1000,0,11,1.28,0,0
329,0,0,0,1000,0,11,1.29,0,0
330,0,0,0,1000,0,11,1.3,0,0
331,0,0,0,1000,0,11,1.31,0,0
332,0,0,0,1000,0,11,1.32,0,0
333,0,0,0,1000,0,11,1.33,0,0
334,0,0,0,1000,0,11,1.34,0,0
335,0,0,0,1000,0,11,1.35,0,0
336,0,0,0,1000,0,11,1.36,0,0
337,0,0,0,1000,0,11,1.37,0,0
338,0,0,0,1000,0,11,1.38,0,0
339,0,0,0,1000,0,11,1.39,0,0
340,0,0,0,1000,0,11,1.4,0,0
341,0,0,0,1000,0,11,1.41,0,0
342,0,0,0,1000,0,11,1.42,0,0
343,0,0,0,1000,0,11,1.43,0,0
344,0,0,0,1000,0,11,1.44,0,0
345,0,0,0,1000,0,11,1.45,0,0
346,0,0,0,1000,0,11,1.46,0,0
347,0,0,0,1000,0,11,1.47,0,0
348,0,0,0,1000,0,11,1.48,0,0
349,0,0,0,1000,0,11,1.49,0,0
350,0,0,0,1000,0,11,1.5,0,0
351,0,0,0,1000,0,11,1.51,0,0
352,0,0,0,1000,0,11,1.52,0,0
353,0,0,0,1000,0,11,1.53,0,0
354,0,0,0,1000,0,11,1.54,0,0
355,0,0,0,1000,0,11,1.55,0,0
356,0,0,0,1000,0,11,1.56,0,0
357,0,0,0,1000,0,11,1.57,0,0
358,0,0,0,1000,0,11,1.58,0,0
359,0,0,0,1000,0,11,1.59,0,0
360,0,0,0,1000,0,11,1.6,0,0
361,0,0,0,1000,0,11,1.61,0,0
362,0,0,0,1000,0,11,1.62,0,0
363,0,0,0,1000,0,11,1.63,0,0
364,0,0,0,1000,0,11,1.64,0,0
365,0,0,0,1000,0,11,1.65,0,0
366,0,0,0,1000,0,11,1.66,0,0
367,0,0,0,1000,0,11,1.67,0,0
368,0,0,0,1000,0,11,1.68,0,0
369,0,0,0,1000,0,11,1.69,0,0
370,0,0,0,1000,0,11,1.7,0,0
371,0,0,0,1000,0,11,1.71,0,0
372,0,0,0,1000,0,11,1.72,0,0
373,0,0,0,1000,0,11,1.73,0,0
374,0,0,0,1000,0,11,1.74,0,0
375,0,0,0,1000,0,11,1.75,0,0
376,0,0,0,1000,0,11,1.76,0,0
377,0,0,0,1000,0,11,1.77,0,0
378,0,0,0,1000,0,11,1.78,0,0
379,0,0,0,1000,0,11,1.79,0,0
380,0,0,0,1000,0,11,1.8,0,0
381,0,0,0,1000,0,11,1.81,0,0
382,0,0,0,1000,0,11,1.82,0,0
383,0,0,0,1000,0,11,1.83,0,0
384,0,0,0,1000,0,11,1.84,0,0
385,0,0,0,1000,0,11,1.85,0,0
386,0,0,0,1000,0,11,1.86,0,0
387,0,0,0,1000,0,11,1.87,0,0
388,0,0,0,1000,0,11,1.88,0,0
389,0,0,0,1000,0,11,1.89,0,0
390,0,0,0,1000,0,11,1.9,0,0
391,0,0,0,1000,0,11,1.91,0,0
392,0,0,0,1000,0,11,1.92,0,0
393,0,0,0,1000,0,11,1.93,0,0
394,0,0,0,1000,0,11,1.94,0,0
395,0,0,0,1000,0,11,1.95,0,0
396,0,0,0,1000,0,11,1.96,0,0
397,0,0,0,1000,0,11,1.97,0,0
398,0,0,0,1000,0,11,1.98,0,0
399,0,0,0,1000,0,11,1.99,0,0
400,0,0,0,1000,0,11,2,0,0
401,0,0,0,1000,0,11,2.01,0,0
402,0,0,0,1000,0,11,2.02,0,0
